Grapheme	IPA
blindn	b l ɪ n d n̥
blinds	b l ɪ n d s
blōma	b l o m a
blōstr	b l o s t r̥
blōstreis	b l o s t r i s
blōt	b l o t
blōteins	b l o t i n s
blōtinassus	b l o t ɪ n a sː u s
blōþ	b l o θ
blōþarinnands	b l o θ a r ɪ nː a n d s
blunds	b l u n d s
bnáu	b n ɔ
boga	b o ɣ a
bōka	b o k a
bōkāreis	b o k a r i s
bōta	b o t a
bōtj	b o t j
braƕ	b r a ʍ
braidei	b r ɛ ð i
braidj	b r ɛ ð j
braiƕ	b r ɛ ʍ
braiþs	b r ɛ θ s
brakja	b r a k j a
bramj	b r a m j
brammōn	b r a mː o n
branda	b r a n d a
brands	b r a n d s
brannj	b r a nː j
brasa	b r a s a
brasōn	b r a s o n
brauþ	b r ɔ θ
breen	b r e e n
breuw	b r e u w
bridila	b r ɪ ð ɪ l a
brigdil	b r ɪ ɣ d ɪ l
brigg	b r ɪ ŋ ɡ
brik	b r ɪ k
brinn	b r ɪ nː
brinnō	b r ɪ nː o
brist	b r ɪ s t
briþ	b r ɪ θ
broe	b r o e
brōj	b r o j
broks	b r o k s
brōþar	b r o θ a r
brōþrahans	b r o θ r a h a n s
brōþrahs	b r o θ r a h s
brōþrulubō	b r o θ r u l u β o
brugdj	b r u ɣ d j
bruka	b r u k a
brukja	b r u k j a
brūkj	b r u k j
brukn	b r u k n̥
brūks	b r u k s
brunjō	b r u n j o
brunna	b r u nː a
brūns	b r u n s
brunsts	b r u n s t s
brust	b r u s t
brusti	b r u s t ɪ
brustj	b r u s t j
brusts	b r u s t s
brutilō	b r u t ɪ l o
brutōn	b r u t o n
bruts	b r u t s
bruþ	b r u θ
brūþfaþs	b r u θ ɸ a θ s
brūþs	b r u θ s
bruzdōn	b r u z d o n
buggja	b u ŋ ɡ j a
bugj	b u ɣ j
būks	b u k s
Bulgar	b u l ɡ a r
bundn	b u n d n̥
būrjō	b u r j o
būska	b u s k a
būsns	b u s n̥ s
bwssaún	b w sː ɔ n
cadariou	c a ð a r ɪ o u
contropare	c o n t r o p a r e
contropatio	c o n t r o p a t ɪ o
criten	c r ɪ t e n
dab	d a β
daddj	d a dː j
dagis	d a ɣ ɪ s
dags	d a ɣ s
daigs	d ɛ ɣ s
daila	d ɛ l a
dailj	d ɛ l j
dails	d ɛ l s
daimōnāreis	d ɛ m o n a r i s
dalaþ	d a l a θ
dalaþa	d a l a θ a
dalaþrō	d a l a θ r o
dals	d a l s
dammj	d a mː j
damms	d a mː s
Danila	d a n ɪ l a
Dans	d a n s
Danus	d a n u s
darnj	d a r n j
darns	d a r n̥ s
daubei	d ɔ β i
daubiþa	d ɔ β ɪ θ a
daubj	d ɔ β j
daubn	d ɔ β n̥
daufs	d ɔ ɸ s
daúhtar	d ɔ h t a r
daúhts	d ɔ h t s
dauka	d ɔ k a
dauns	d ɔ n s
daupeins	d ɔ p i n s
daupj	d ɔ p j
daupjands	d ɔ p j a n d s
daúr	d ɔ r
daúrawarda	d ɔ r a w a r d a
daúrawardō	d ɔ r a w a r d o
daúrawards	d ɔ r a w a r d s
daúri	d ɔ r ɪ
daúrō	d ɔ r o
daúrs	d ɔ r s
dauþeins	d ɔ θ i n s
dauþj	d ɔ θ j
dauþn	d ɔ θ n̥
dauþs	d ɔ θ s
dauþubleis	d ɔ θ u β l i s
dauþus	d ɔ θ u s
dēdja	d e ð j a
deinō	d i n o
deis	d i s
deisei	d i s i
dēþs	d e θ s
diabaúlus	d ɪ a β ɔ l u s
diabula	d ɪ a β u l a
diakaúnus	d ɪ a k ɔ n u s
dig	d ɪ ɣ
digrei	d ɪ ɣ r i
digrs	d ɪ ɣ r̥ s
dis	d ɪ s
disdailj	d ɪ s d ɛ l j
disdrius	d ɪ s d r ɪ u s
dishab	d ɪ s h a β
dishniup	d ɪ s h n ɪ u p
dishnupn	d ɪ s h n u p n̥
dishulj	d ɪ s h u l j
disks	d ɪ s k s
disnim	d ɪ s n ɪ m
dissigq	d ɪ sː ɪ ŋ kʷ
dissit	d ɪ sː ɪ t
disskaid	d ɪ sː k ɛ ð
disskreit	d ɪ sː k r i t
disskritn	d ɪ sː k r ɪ t n̥
distaheins	d ɪ s t a h i n s
distahj	d ɪ s t a h j
distaír	d ɪ s t ɛ r
distaúrn	d ɪ s t ɔ r n̥
diswid	d ɪ s w ɪ ð
diswilw	d ɪ s w ɪ l w
diswinþj	d ɪ s w ɪ n θ j
diswiss	d ɪ s w ɪ sː
diupei	d ɪ u p i
diupiþa	d ɪ u p ɪ θ a
diupj	d ɪ u p j
diups	d ɪ u p s
dius	d ɪ u s
diw	d ɪ w
diwanei	d ɪ w a n i
dōbn	d o β n̥
dōfs	d o ɸ s
dōgs	d o ɣ s
dōmeins	d o m i n s
dōmj	d o m j
dōms	d o m s
drab	d r a β
drag	d r a ɣ
dragk	d r a ŋ k
dragkj	d r a ŋ k j
draibj	d r ɛ β j
drakma	d r a k m a
draúhsna	d r ɔ h s n a
draúhtinassus	d r ɔ h t ɪ n a sː u s
draúhtinōn	d r ɔ h t ɪ n o n
draúhtins	d r ɔ h t ɪ n s
draúhtiwitōþ	d r ɔ h t ɪ w ɪ t o θ
draúhts	d r ɔ h t s
drausj	d r ɔ s j
dreib	d r i β
drigk	d r ɪ ŋ k
driug	d r ɪ u ɣ
drius	d r ɪ u s
driusō	d r ɪ u s o
drōbj	d r o β j
drōbjis	d r o β j ɪ s
drōbna	d r o β n a
drōbn	d r o β n̥
drugkanei	d r u ŋ k a n i
drugkja	d r u ŋ k j a
drugks	d r u ŋ k s
drunjus	d r u n j u s
drus	d r u s
drūþs	d r u θ s
du	d u
duatgagg	d u a t ɡ a ŋ ɡ
duatrinn	d u a t r ɪ nː
duatsniw	d u a t s n ɪ w
dūbō	d u β o
dug	d u ɣ
dugawindansik	d u ɣ a w ɪ n d a n s ɪ k
duginn	d u ɣ ɪ nː
duƕē	d u ʍ e
dulgahaitja	d u l ɡ a h ɛ t j a
dulgs	d u l ɡ s
dulþj	d u l θ j
dulþs	d u l θ s
dumbn	d u m b n̥
dumbs	d u m b s
durinn	d u r ɪ nː
dustōdj	d u s t o ð j
dūþē	d u θ e
dwalawaúrdei	d w a l a w ɔ r d i
dwalawaúrds	d w a l a w ɔ r d s
dwaligōn	d w a l ɪ ɣ o n
dwaliþa	d w a l ɪ θ a
dwalmōn	d w a l m o n
dwalms	d w a l m̥ s
dwals	d w a l s
dwil	d w ɪ l
ei	i
eigs	i ɣ s
eis	i s
eisarn	i s a r n̥
eisarnabandi	i s a r n a β a n d ɪ
eisarneins	i s a r n i n s
eiþ	i θ
ela	e l a
ēmaitja	e m ɛ t j a
enguz	e n ɡ u z
era	e r a
erls	e r l̥ s
ēt	e t
ēta	e t a
ētja	e t j a
ēts	e t s
eyz	e j z
ezec	e z e c
fadar	ɸ a ð a r
fadrein	ɸ a ð r i n
fadreins	ɸ a ð r i n s
faginōn	ɸ a ɣ ɪ n o n
fagins	ɸ a ɣ ɪ n s
fagrs	ɸ a ɣ r̥ s
fāh	ɸ a h
fahēþs	ɸ a h e θ s
fahrj	ɸ a h r j
fahs	ɸ a h s
fái	ɸ ɛ
faih	ɸ ɛ h
faihs	ɸ ɛ h s
faíhu	ɸ ɛ h u
faíhufrikei	ɸ ɛ h u ɸ r ɪ k i
faíhufriks	ɸ ɛ h u ɸ r ɪ k s
faíhugaírnei	ɸ ɛ h u ɣ ɛ r n i
faíhugaírns	ɸ ɛ h u ɣ ɛ r n̥ s
faíhugawaúrki	ɸ ɛ h u ɣ a w ɔ r k ɪ
faíhugeig	ɸ ɛ h u ɣ i ɣ
faíhugeirō	ɸ ɛ h u ɣ i r o
faíhugeirs	ɸ ɛ h u ɣ i r s
faíhuskula	ɸ ɛ h u s k u l a
faíhuþraihn	ɸ ɛ h u θ r ɛ h n̥
faír	ɸ ɛ r
faíraih	ɸ ɛ r ɛ h
faírgreip	ɸ ɛ r ɡ r i p
faírguni	ɸ ɛ r ɡ u n ɪ
faírhait	ɸ ɛ r h ɛ t
faírƕus	ɸ ɛ r ʍ u s
faírina	ɸ ɛ r ɪ n a
faírinōdaba	ɸ ɛ r ɪ n o ð a β a
faírinōn	ɸ ɛ r ɪ n o n
faírinōþs	ɸ ɛ r ɪ n o θ s
faírins	ɸ ɛ r ɪ n s
faírj	ɸ ɛ r j
faírlaistiþs	ɸ ɛ r l ɛ s t ɪ θ s
faírneis	ɸ ɛ r n i s
faírniþa	ɸ ɛ r n ɪ θ a
faírns	ɸ ɛ r n̥ s
faírra	ɸ ɛ rː a
faírraþrō	ɸ ɛ rː a θ r o
faírrinn	ɸ ɛ rː ɪ nː
faírwaúrkj	ɸ ɛ r w ɔ r k j
faírweit	ɸ ɛ r w i t
faírweitj	ɸ ɛ r w i t j
faírweitl	ɸ ɛ r w i t l̥
faírzna	ɸ ɛ r z n a
falda	ɸ a l d a
falka	ɸ a l k a
falþ	ɸ a l θ
falþaba	ɸ a l θ a β a
falþei	ɸ a l θ i
falþs	ɸ a l θ s
falwiska	ɸ a l w ɪ s k a
falws	ɸ a l w s
fana	ɸ a n a
fani	ɸ a n ɪ
fanþja	ɸ a n θ j a
fara	ɸ a r a
far	ɸ a r
Faraō	ɸ a r a o
Fareisaius	ɸ a r i s ɛ u s
farj	ɸ a r j
farþa	ɸ a r θ a
farwa	ɸ a r w a
faskja	ɸ a s k j a
fasta	ɸ a s t a
fast	ɸ a s t
fasteis	ɸ a s t i s
fastnēms	ɸ a s t n e m s
fasts	ɸ a s t s
fastubni	ɸ a s t u β n ɪ
fata	ɸ a t a
faþa	ɸ a θ a
faþs	ɸ a θ s
faúhō	ɸ ɔ h o
faúr	ɸ ɔ r
faúra	ɸ ɔ r a
faúradaúri	ɸ ɔ r a ð ɔ r ɪ
faúrafilli	ɸ ɔ r a ɸ ɪ lː ɪ
faúragagga	ɸ ɔ r a ɣ a ŋ ɡ a
faúragagg	ɸ ɔ r a ɣ a ŋ ɡ
faúragaggi	ɸ ɔ r a ɣ a ŋ ɡ ɪ
faúragaggja	ɸ ɔ r a ɣ a ŋ ɡ j a
faúragahait	ɸ ɔ r a ɣ a h ɛ t
faúragahugj	ɸ ɔ r a ɣ a h u ɣ j
faúragaleik	ɸ ɔ r a ɣ a l i k
faúragamanwj	ɸ ɔ r a ɣ a m a n w j
faúragamēlj	ɸ ɔ r a ɣ a m e l j
faúragaraidj	ɸ ɔ r a ɣ a r ɛ ð j
faúragarēd	ɸ ɔ r a ɣ a r e ð
faúragasandj	ɸ ɔ r a ɣ a s a n d j
faúragasatj	ɸ ɔ r a ɣ a s a t j
faúragateih	ɸ ɔ r a ɣ a t i h
faúrahāh	ɸ ɔ r a h a h
faúramanwj	ɸ ɔ r a m a n w j
faúramaþleis	ɸ ɔ r a m a θ l i s
faúramaþli	ɸ ɔ r a m a θ l ɪ
faúramēlj	ɸ ɔ r a m e l j
faúraqim	ɸ ɔ r a kʷ ɪ m
fauraqiþ	ɸ ɔ r a kʷ ɪ θ
faúrarahnj	ɸ ɔ r a r a h n j
faúrastand	ɸ ɔ r a s t a n d
faúratani	ɸ ɔ r a t a n ɪ
faúrawēnj	ɸ ɔ r a w e n j
faúrawis	ɸ ɔ r a w ɪ s
faúrbaúhts	ɸ ɔ r b ɔ h t s
faúrbigagg	ɸ ɔ r b ɪ ɣ a ŋ ɡ
faúrbisniw	ɸ ɔ r b ɪ s n ɪ w
faúrbiud	ɸ ɔ r b ɪ u ð
faúrbj	ɸ ɔ r b j
faúrdammj	ɸ ɔ r d a mː j
faúrdōmeins	ɸ ɔ r d o m i n s
faúrdōmj	ɸ ɔ r d o m j
faúrgagg	ɸ ɔ r ɡ a ŋ ɡ
faúrhāh	ɸ ɔ r h a h
faurhs	ɸ ɔ r h s
faúrhtei	ɸ ɔ r h t i
faúrhtj	ɸ ɔ r h t j
faúrhts	ɸ ɔ r h t s
faúrlageins	ɸ ɔ r l a ɣ i n s
faúrlagj	ɸ ɔ r l a ɣ j
faúrmūlj	ɸ ɔ r m u l j
faúrqiþ	ɸ ɔ r kʷ ɪ θ
faúrrinn	ɸ ɔ rː ɪ nː
faurs	ɸ ɔ r s
faúrsiglj	ɸ ɔ r s ɪ ɣ l j
faúrsniw	ɸ ɔ r s n ɪ w
faúrstand	ɸ ɔ r s t a n d
faurstass	ɸ ɔ r s t a sː
faúrstasseis	ɸ ɔ r s t a sː i s
faúrþis	ɸ ɔ r θ ɪ s
faúrþizei	ɸ ɔ r θ ɪ z i
faúrwaipj	ɸ ɔ r w ɛ p j
faúrwalwj	ɸ ɔ r w a l w j
faúrweis	ɸ ɔ r w i s
faus	ɸ ɔ s
fēhaba	ɸ e h a β a
fēhs	ɸ e h s
fenea	ɸ e n e a
fēr	ɸ e r
fēra	ɸ e r a
fērja	ɸ e r j a
fers	ɸ e r s
fēteins	ɸ e t i n s
fētj	ɸ e t j
feusa	ɸ e u s a
fidur	ɸ ɪ ð u r
fidurdōgs	ɸ ɪ ð u r d o ɣ s
fidurfalþs	ɸ ɪ ð u r ɸ a l θ s
fidurragineis	ɸ ɪ ð u rː a ɣ ɪ n i s
fidurragini	ɸ ɪ ð u rː a ɣ ɪ n ɪ
fidwōr	ɸ ɪ ð w o r
fidwōrtaíhun	ɸ ɪ ð w o r t ɛ h u n
fidwōrþūsundjos	ɸ ɪ ð w o r θ u s u n d j o s
figgragulþ	ɸ ɪ ŋ ɡ r a ɣ u l θ
figgrs	ɸ ɪ ŋ ɡ r̥ s
fij	ɸ ɪ j
fijands	ɸ ɪ j a n d s
fijaþwa	ɸ ɪ j a θ w a
filaus	ɸ ɪ l ɔ s
filh	ɸ ɪ l h
filigri	ɸ ɪ l ɪ ɣ r ɪ
fill	ɸ ɪ lː
filleins	ɸ ɪ lː i n s
fills	ɸ ɪ lː s
films	ɸ ɪ l m̥ s
filtur	ɸ ɪ l t u r
filu	ɸ ɪ l u
filudeis	ɸ ɪ l u ð i s
filudeisei	ɸ ɪ l u ð i s i
filufaíhs	ɸ ɪ l u ɸ ɛ h s
filugalaufs	ɸ ɪ l u ɣ a l ɔ ɸ s
filusna	ɸ ɪ l u s n a
filuwaúrdei	ɸ ɪ l u w ɔ r d i
filuwaúrdj	ɸ ɪ l u w ɔ r d j
filuwaúrds	ɸ ɪ l u w ɔ r d s
fimf	ɸ ɪ m ɸ
fimfhunda	ɸ ɪ m ɸ h u n d a
fimfta	ɸ ɪ m ɸ t a
fimftaíhun	ɸ ɪ m ɸ t ɛ h u n
fimftataíhunda	ɸ ɪ m ɸ t a t ɛ h u n d a
fimftigjus	ɸ ɪ m ɸ t ɪ ɣ j u s
fimfþūsunjōs	ɸ ɪ m ɸ θ u s u n j o s
finja	ɸ ɪ n j a
Finnhaiþas	ɸ ɪ nː h ɛ θ a s
finþ	ɸ ɪ n θ
fiskja	ɸ ɪ s k j a
fiskōn	ɸ ɪ s k o n
fisks	ɸ ɪ s k s
fit	ɸ ɪ t
flahta	ɸ l a h t a
flaíht	ɸ l ɛ h t
flaskō	ɸ l a s k o
flautj	ɸ l ɔ t j
flauts	ɸ l ɔ t s
flōdus	ɸ l o ð u s
flōk	ɸ l o k
fōdeins	ɸ o ð i n s
fōdj	ɸ o ð j
fōdr	ɸ o ð r̥
fōn	ɸ o n
fōtubandi	ɸ o t u β a n d ɪ
fōtubaūrd	ɸ o t u β ɔ r d
fōtus	ɸ o t u s
fra	ɸ r a
fraatj	ɸ r a a t j
frabaír	ɸ r a β ɛ r
frabaúhtabōka	ɸ r a β ɔ h t a β o k a
frabugj	ɸ r a β u ɣ j
fradailj	ɸ r a ð ɛ l j
frag	ɸ r a ɣ
fragib	ɸ r a ɣ ɪ β
fragifts	ɸ r a ɣ ɪ ɸ t s
fragild	ɸ r a ɣ ɪ l d
Fragka	ɸ r a ŋ k a
frahinþ	ɸ r a h ɪ n θ
fraíhn	ɸ r ɛ h n̥
frais	ɸ r ɛ s
fraista	ɸ r ɛ s t a
fraistōn	ɸ r ɛ s t o n
fraistubni	ɸ r ɛ s t u β n ɪ
frait	ɸ r ɛ t
fraiw	ɸ r ɛ w
frakunn	ɸ r a k u nː
frakunþs	ɸ r a k u n θ s
fralēt	ɸ r a l e t
fralēts	ɸ r a l e t s
fralēwj	ɸ r a l e w j
fralius	ɸ r a l ɪ u s
fralusn	ɸ r a l u s n̥
fralusts	ɸ r a l u s t s
fram	ɸ r a m
framaldrs	ɸ r a m a l d r̥ s
framaþeis	ɸ r a m a θ i s
framaþj	ɸ r a m a θ j
framgāhts	ɸ r a m ɡ a h t s
framis	ɸ r a m ɪ s
frams	ɸ r a m s
framwaírþis	ɸ r a m w ɛ r θ ɪ s
framwairþs	ɸ r a m w ɛ r θ s
framwigis	ɸ r a m w ɪ ɣ ɪ s
franim	ɸ r a n ɪ m
fraqim	ɸ r a kʷ ɪ m
fraqisteins	ɸ r a kʷ ɪ s t i n s
fraqistj	ɸ r a kʷ ɪ s t j
fraqistn	ɸ r a kʷ ɪ s t n̥
fraqiþ	ɸ r a kʷ ɪ θ
frarinn	ɸ r a r ɪ nː
fraslind	ɸ r a s l ɪ n d
frastisibja	ɸ r a s t ɪ s ɪ β j a
frasts	ɸ r a s t s
fraþi	ɸ r a θ ɪ
fraþjamarzeins	ɸ r a θ j a m a r z i n s
fraþj	ɸ r a θ j
fraþjands	ɸ r a θ j a n d s
fraþjei	ɸ r a θ j i
fraþjis	ɸ r a θ j ɪ s
frauja	ɸ r ɔ j a
fraujinassus	ɸ r ɔ j ɪ n a sː u s
fraujinōn	ɸ r ɔ j ɪ n o n
fraujinōnds	ɸ r ɔ j ɪ n o n d s
fraujis	ɸ r ɔ j ɪ s
fraus	ɸ r ɔ s
fratrud	ɸ r a t r u ð
frawaírp	ɸ r a w ɛ r p
frawaírþ	ɸ r a w ɛ r θ
frawardeins	ɸ r a w a r d i n s
frawardj	ɸ r a w a r d j
frawaúrhts	ɸ r a w ɔ r h t s
frawaúrkj	ɸ r a w ɔ r k j
fraweit	ɸ r a w i t
frawilw	ɸ r a w ɪ l w
frawis	ɸ r a w ɪ s
frawrik	ɸ r a w r ɪ k
frawrōhj	ɸ r a w r o h j
freideins	ɸ r i ð i n s
freidj	ɸ r i ð j
freihals	ɸ r i h a l s
freis	ɸ r i s
freiþs	ɸ r i θ s
friaþwamilds	ɸ r ɪ a θ w a m ɪ l d s
frijaþwa	ɸ r ɪ j a θ w a
frijei	ɸ r ɪ j i
frijōn	ɸ r ɪ j o n
frijōndi	ɸ r ɪ j o n d ɪ
frijōnds	ɸ r ɪ j o n d s
frijōns	ɸ r ɪ j o n s
frikei	ɸ r ɪ k i
friks	ɸ r ɪ k s
frisahtj	ɸ r ɪ s a h t j
frisahtn	ɸ r ɪ s a h t n̥
frisahts	ɸ r ɪ s a h t s
frisks	ɸ r ɪ s k s
friþōn	ɸ r ɪ θ o n
friþus	ɸ r ɪ θ u s
frius	ɸ r ɪ u s
frōdaba	ɸ r o ð a β a
frōdei	ɸ r o ð i
frōþs	ɸ r o θ s
frum	ɸ r u m
fruma	ɸ r u m a
frumabaúr	ɸ r u m a β ɔ r
frumadei	ɸ r u m a ð i
frumaþ	ɸ r u m a θ
frumaþeis	ɸ r u m a θ i s
frumei	ɸ r u m i
frumist	ɸ r u m ɪ s t
frumisti	ɸ r u m ɪ s t ɪ
frumists	ɸ r u m ɪ s t s
frumj	ɸ r u m j
fugls	ɸ u ɣ l̥ s
fula	ɸ u l a
fulcus	ɸ u l c u s
fulgins	ɸ u l ɡ ɪ n s
fulhsni	ɸ u l h s n ɪ
fulk	ɸ u l k
fullafahj	ɸ u lː a ɸ a h j
fullafraþj	ɸ u lː a ɸ r a θ j
fullatōjis	ɸ u lː a t o j ɪ s
fullaweis	ɸ u lː a w i s
fullaweisj	ɸ u lː a w i s j
fullawita	ɸ u lː a w ɪ t a
fullei	ɸ u lː i
fulleins	ɸ u lː i n s
fulleiþs	ɸ u lː i θ s
fullja	ɸ u lː j a
fullj	ɸ u lː j
fulln	ɸ u lː n
fullō	ɸ u lː o
fulls	ɸ u lː s
fūls	ɸ u l s
fulþ	ɸ u l θ
funisks	ɸ u n ɪ s k s
funs	ɸ u n s
fwnīkisks	ɸ w n i k ɪ s k s
ga	ɡ a
gaaggwei	ɡ a a ɡ ɡ w i
gaaggweins	ɡ a a ɡ ɡ w i n s
gaaggwj	ɡ a a ɡ ɡ w j
gaaiginōn	ɡ a ɛ ɣ ɪ n o n
gaain	ɡ a ɛ n
gaaist	ɡ a ɛ s t
gaaiwiskōn	ɡ a ɛ w ɪ s k o n
gaandj	ɡ a a n d j
gaar	ɡ a a r
gaarbja	ɡ a a r b j a
gaarm	ɡ a a r m̥
gaauk	ɡ a ɔ k
gabaidj	ɡ a β ɛ ð j
gabaír	ɡ a β ɛ r
gabaírg	ɡ a β ɛ r ɡ
gabaírhteins	ɡ a β ɛ r h t i n s
gabaírhtj	ɡ a β ɛ r h t j
gabandwj	ɡ a β a n d w j
gabatn	ɡ a β a t n̥
gabáu	ɡ a β ɔ
gabaúr	ɡ a β ɔ r
gabaúrgja	ɡ a β ɔ r ɡ j a
gabaúrjaba	ɡ a β ɔ r j a β a
gabaúrjō	ɡ a β ɔ r j o
gabaúrjōn	ɡ a β ɔ r j o n
gabaúrjōþus	ɡ a β ɔ r j o θ u s
gabaúrþiwaurd	ɡ a β ɔ r θ ɪ w ɔ r d
gabaúrþs	ɡ a β ɔ r θ s
gabei	ɡ a β i
gabeid	ɡ a β i ð
gabeistj	ɡ a β i s t j
gabidj	ɡ a β ɪ ð j
gabigaba	ɡ a β ɪ ɣ a β a
gabigj	ɡ a β ɪ ɣ j
gabign	ɡ a β ɪ ɣ n̥
gabigs	ɡ a β ɪ ɣ s
gabinda	ɡ a β ɪ n d a
gabind	ɡ a β ɪ n d
gabindi	ɡ a β ɪ n d ɪ
gabiug	ɡ a β ɪ u ɣ
gablauþj	ɡ a β l ɔ θ j
gableiþeins	ɡ a β l i θ i n s
gableiþj	ɡ a β l i θ j
gablindj	ɡ a β l ɪ n d j
gabōtj	ɡ a β o t j
gabrannj	ɡ a β r a nː j
gabrik	ɡ a β r ɪ k
gabruka	ɡ a β r u k a
gabundi	ɡ a β u n d ɪ
gadab	ɡ a ð a β
gadaila	ɡ a ð ɛ l a
gadailj	ɡ a ð ɛ l j
gadaubj	ɡ a ð ɔ β j
gadauka	ɡ a ð ɔ k a
gadaúrs	ɡ a ð ɔ r s
gadauþj	ɡ a ð ɔ θ j
gadauþn	ɡ a ð ɔ θ n̥
gadeltha	ɡ a ð e l t h a
gadēþs	ɡ a ð e θ s
gadig	ɡ a ð ɪ ɣ
gadigis	ɡ a ð ɪ ɣ ɪ s
gadiliggs	ɡ a ð ɪ l ɪ ŋ ɡ s
gadiupj	ɡ a ð ɪ u p j
gadōfs	ɡ a ð o ɸ s
gadōmj	ɡ a ð o m j
gadrab	ɡ a ð r a β
gadrag	ɡ a ð r a ɣ
gadragkj	ɡ a ð r a ŋ k j
gadraúhts	ɡ a ð r ɔ h t s
gadrausj	ɡ a ð r ɔ s j
gadrigk	ɡ a ð r ɪ ŋ k
gadrius	ɡ a ð r ɪ u s
gadrōbn	ɡ a ð r o β n̥
gafāh	ɡ a ɸ a h
gafahrj	ɡ a ɸ a h r j
gafaih	ɡ a ɸ ɛ h
gafaihōn	ɡ a ɸ ɛ h o n
gafairinōnds	ɡ a ɸ ɛ r ɪ n o n d s
gafairinōþs	ɡ a ɸ ɛ r ɪ n o θ s
gafast	ɡ a ɸ a s t
gafaúrds	ɡ a ɸ ɔ r d s
gafaurs	ɡ a ɸ ɔ r s
gafēhaba	ɡ a ɸ e h a β a
gafēhs	ɡ a ɸ e h s
gafēteins	ɡ a ɸ e t i n s
gafētj	ɡ a ɸ e t j
gafilh	ɡ a ɸ ɪ l h
gafraíhn	ɡ a ɸ r ɛ h n̥
gafraþjei	ɡ a ɸ r a θ j i
gafraþjis	ɡ a ɸ r a θ j ɪ s
gafraujinōn	ɡ a ɸ r ɔ j ɪ n o n
gafreideins	ɡ a ɸ r i ð i n s
gafreidj	ɡ a ɸ r i ð j
gafrijōns	ɡ a ɸ r ɪ j o n s
gafrisahtj	ɡ a ɸ r ɪ s a h t j
gafrisahtn	ɡ a ɸ r ɪ s a h t n̥
gafriþōn	ɡ a ɸ r ɪ θ o n
gafriþōns	ɡ a ɸ r ɪ θ o n s
gafulgins	ɡ a ɸ u l ɡ ɪ n s
gafullaweisj	ɡ a ɸ u lː a w i s j
gafullj	ɡ a ɸ u lː j
gafulln	ɡ a ɸ u lː n
gagagg	ɡ a ɣ a ŋ ɡ
gagahaftj	ɡ a ɣ a h a ɸ t j
gagaleikōn	ɡ a ɣ a l i k o n
gagamainj	ɡ a ɣ a m ɛ n j
gagatilōn	ɡ a ɣ a t ɪ l o n
gagawaírþj	ɡ a ɣ a w ɛ r θ j
gagawaírþn	ɡ a ɣ a w ɛ r θ n̥
gageig	ɡ a ɣ i ɣ
gagg	ɡ a ŋ ɡ
gagga	ɡ a ŋ ɡ a
gaggi	ɡ a ŋ ɡ ɪ
gaggja	ɡ a ŋ ɡ j a
gaggj	ɡ a ŋ ɡ j
gagrēfts	ɡ a ɣ r e ɸ t s
gagudaba	ɡ a ɣ u ð a β a
gagudei	ɡ a ɣ u ð i
gaguþs	ɡ a ɣ u θ s
gahab	ɡ a h a β
gahabands	ɡ a h a β a n d s
gahaftj	ɡ a h a ɸ t j
gahaftn	ɡ a h a ɸ t n̥
gahafts	ɡ a h a ɸ t s
gahāhjis	ɡ a h a h j ɪ s
gahāhjō	ɡ a h a h j o
gahailj	ɡ a h ɛ l j
gahailn	ɡ a h ɛ l n̥
gahails	ɡ a h ɛ l s
gahait	ɡ a h ɛ t
gahamōn	ɡ a h a m o n
gahardj	ɡ a h a r d j
gahaunj	ɡ a h ɔ n j
gahauseins	ɡ a h ɔ s i n s
gahausj	ɡ a h ɔ s j
gahilp	ɡ a h ɪ l p
gahlaiba	ɡ a h l ɛ β a
gahlaifs	ɡ a h l ɛ ɸ s
gahnaiwj	ɡ a h n ɛ w j
gahnipn	ɡ a h n ɪ p n̥
gahōbains	ɡ a h o β ɛ n s
gahōb	ɡ a h o β
gahōrinōn	ɡ a h o r ɪ n o n
gahraineins	ɡ a h r ɛ n i n s
gahrainj	ɡ a h r ɛ n j
gahts	ɡ a h t s
gāhts	ɡ a h t s
